sensitive_feature,group,n_samples,selection_rate,true_positive_rate,false_positive_rate,auc_roc,overall_selection_rate,overall_true_positive_rate,overall_false_positive_rate,overall_auc_roc,tpr_gap_vs_overall,potential_disparate_impact
state,AK,13,0.07692307692307693,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,AL,26,0.19230769230769232,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,AR,14,0.14285714285714285,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,AZ,24,0.125,1.0,0.045454545454545456,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,CA,5,0.2,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,CO,19,0.15789473684210525,0.6666666666666666,0.0625,0.7083333333333334,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.2250000000000001,True
state,CT,17,0.17647058823529413,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,DC,14,0.0,0.0,0.0,0.15384615384615385,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.8916666666666667,True
state,DE,19,0.10526315789473684,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,FL,11,0.2727272727272727,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,GA,18,0.16666666666666666,0.75,0.0,0.9285714285714286,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.14166666666666672,True
state,HI,21,0.047619047619047616,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,IA,6,0.16666666666666666,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,ID,22,0.045454545454545456,0.5,0.0,0.775,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.3916666666666667,True
state,IL,13,0.15384615384615385,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,IN,17,0.17647058823529413,1.0,0.125,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,KS,12,0.16666666666666666,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,KY,9,0.1111111111111111,1.0,0.0,1.0,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.10833333333333328,True
state,LA,16,0.0,0.0,0.0,0.6,0.1423529411764706,0.8916666666666667,0.019178082191780823,0.9526712328767123,0.8916666666666667,True
